id,name,status,species,type,gender,origin,location,image,episode_count,created
159,Hunter,Dead,Human,Clone,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/159.jpeg,1,2017-12-29T16:03:28.792Z
160,Hunter's Father,Alive,Human,,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/160.jpeg,1,2017-12-29T16:07:04.040Z
161,Hydrogen-F,Alive,Alien,Alphabetrian,Female,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/161.jpeg,1,2017-12-29T16:10:40.290Z
162,Ice-T,Alive,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/162.jpeg,1,2017-12-29T16:42:59.207Z
163,Ideal Jerry,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/163.jpeg,1,2017-12-29T16:46:41.345Z
164,Insurance Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/164.jpeg,1,2017-12-29T17:03:08.645Z
165,Investigator Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/165.jpeg,1,2017-12-29T17:05:15.514Z
166,Invisi-trooper,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/166.jpeg,1,2017-12-29T17:06:28.325Z
167,Izzy,Alive,Animal,Cat,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/167.jpeg,1,2017-12-29T17:07:59.024Z
168,Jackie,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/168.jpeg,1,2017-12-29T17:14:03.430Z
169,Jacob,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/169.jpeg,2,2017-12-29T17:20:52.037Z
170,Jacqueline,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/170.jpeg,1,2017-12-29T17:22:17.707Z
171,Jaguar,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/171.jpeg,1,2017-12-29T17:25:38.138Z
172,Jamey,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/172.jpeg,1,2017-12-29T17:30:20.654Z
173,Jan-Michael Vincent,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/173.jpeg,1,2017-12-29T17:33:23.972Z
174,Jerry 5-126,Alive,Human,,Male,Earth (5-126),Jerryboree,https://rickandmortyapi.com/api/character/avatar/174.jpeg,1,2017-12-29T17:50:19.991Z
175,Jerry Smith,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/175.jpeg,7,2017-12-29T18:07:17.610Z
176,Celebrity Jerry,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/176.jpeg,1,2017-12-29T18:25:11.930Z
177,Jerry Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/177.jpeg,1,2017-12-29T18:28:19.424Z
178,Jerry's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/178.jpeg,1,2017-12-29T18:29:31.279Z
179,Jessica,Alive,Cronenberg,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/179.jpeg,3,2017-12-29T18:34:37.806Z
180,Jessica,Alive,Human,Time God,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/180.jpeg,12,2017-12-29T18:36:27.225Z
181,Jessica's Friend,Alive,Human,,Female,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/181.jpeg,8,2017-12-29T18:47:23.345Z
182,Jim,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/182.jpeg,1,2017-12-29T18:49:48.953Z
183,Johnny Depp,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/183.jpeg,1,2017-12-29T18:51:29.693Z
184,Jon,Alive,Alien,Gazorpian,Male,Gazorpazorp,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/184.jpeg,1,2017-12-29T18:54:04.572Z
185,Joseph Eli Lipkip,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/185.jpeg,1,2017-12-29T18:56:15.622Z
186,Joyce Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/186.jpeg,1,2017-12-29T18:58:34.530Z
187,Juggling Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/187.jpeg,1,2017-12-29T18:59:47.440Z
188,Karen Entity,Alive,Alien,Unknown-nippled alien,Female,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/188.jpeg,1,2017-12-29T19:10:16.171Z
189,Katarina,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/189.jpeg,1,2017-12-29T19:13:57.070Z
190,Keara,Alive,Alien,Krootabulan,Female,Krootabulon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/190.jpeg,1,2017-12-29T19:26:06.900Z
191,Kevin,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/191.jpeg,1,2017-12-29T19:40:07.816Z
192,King Flippy Nips,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/192.jpeg,1,2017-12-29T19:49:29.297Z
193,King Jellybean,Dead,Mythological Creature,Jellybean,Male,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/193.jpeg,1,2017-12-29T19:58:44.743Z
194,Kozbian,Alive,Alien,Tentacle alien,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/194.jpeg,1,2017-12-30T12:13:53.878Z
195,Kristen Stewart,Alive,Human,,Female,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/195.jpeg,1,2017-12-30T12:19:16.042Z
196,Krombopulos Michael,Dead,Alien,Gromflomite,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/196.jpeg,1,2017-12-30T12:28:52.954Z
197,Kyle,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Kyle's Teenyverse,https://rickandmortyapi.com/api/character/avatar/197.jpeg,1,2017-12-30T12:39:09.025Z
198,Lady Katana,Dead,Humanoid,Cyborg,Female,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/198.jpeg,1,2017-12-30T12:43:37.571Z
199,Larva Alien,Alive,Alien,Larva alien,unknown,Larva Alien's Planet,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/199.jpeg,3,2017-12-30T12:48:44.677Z
200,Lawyer Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/200.jpeg,1,2017-12-30T12:49:52.971Z
