id,name,canonical_name,mal_id,description
110,Kengo Mizumachi,Kengo Mizumachi,1758,"Position: Tackle/Defensive End Jersey Number: 71  The third tallest player on the team and a natural athlete. Was on the swimming team but quit due to the lack of challenge. Plays on the line and uses his height and speed from a ""swimmer's start"" to great advantage. He has a bad habit of saying inap"
111,Shien Mushanokoji,Shien Mushanokoji,7750,"Birthday: November 11 Height: 179cm Weight: 67kg Blood type: A Uniform number: 7  Shien Mushanokoji, known as ""Kid"" to everyone else, is the son of a Olympic gold medalist in pistol shooting. He was trained by his father to be a winner in shooting, and he was made to feel like a failure after any lo"
112,Futoshi Omosadake,Futoshi Omosadake,56765,"Position: Lineman Jersey: 54 Height: 160 cm (5' 3"") Weight: 100 kg (220 lb) Blood Type: O Birthday: March 8 1st Year Student (Grade 10)   Omosadake is a chubby person who keeps his eyes shut all the time; he's very lazy, to the point where even opening his own eyes feels tiring. The only thing that "
113,Makoto Otawara,Makoto Otawara,13738,"The Center heavy weight of the defense line in the Oujo White Knights football team. Otawara isn't the smartest of people making it kind of akward that he is the Team Captain, yet he knows how to motivate his team mates during the matches.  Otawara has a large posture and a jolly spirit. He laughs t"
114,Doburoku Sakaki,Doburoku Sakaki,7029,"Doburoku is the coach of Demon and loves drinking sake. He ran off to the United States later since he owed some loan sharks two million yen after gambling. He intended to look for talented people in America to play American football but got into Beach football. There, he trained the team Too Tattoo"
115,Haruto Sakuraba,Haruto Sakuraba,956,"Position: Wide Receiver  Jersey: 18  40 yard dash: 4.86 seconds  Bench Press: 70 kg  Height: 189 cm  Birthday: March 12  Quote: ""If you can't aim for the top alone, then find someone to go with you.""   A typical, good-looking pop idol (he has a CD single due to recording technology, despite the fact"
116,Koutaro Sasaki,Koutaro Sasaki,7032,"40-Yard Dash: 5.5 seconds Bench Press: 65 kg Position: Kicker Jersey Number: 99 Blood Type: B Birthday: November 30 2nd Year Student (Grade 11)  The kicker for the Bando Spiders. He is a direct rival of Musashi, and as noted by Hiruma, he has never missed a try-for-point kick. He even once kicked a "
117,Juri Sawai,Juri Sawai,16993,"Juri is the Spiders' manager, and Kotaro's childhood friend. She often has to deal with the disagreements between Kotaro and Akaba, and she has demonstrated awareness of the fact that the two are similar in their bizarre behavior and dedication to winning football games."
118,Seijuurou Shin,Seijuurou Shin,947,"The ace linebacker of the Oujouu White Knights American football team and Sena Kobayakawa's main rival. Shin is a silent, seemingly unsociable person. Despite this, his friends include his teammates Haruto Sakuraba and Makoto Ootawara. After the Oujou's coach, Shoji Gunpei, noticed his talent when h"
119,Gunpei Shouji,Gunpei Shouji,23508,"Shouji is the head coach and trainer of the Ojo White Knights. He sometimes wears a hat that bears a resemblance to a look sported by legendary NFL headcoach Tom Landry. During his years in university, he had been an ace player for his football team, along with Deimon's trainer Doburoku. Together, t"
120,Patrick Spencer,Patrick Spencer,7007,"Position: Running Back Jersey Number: 20 Bench Press: 70kgs 40-Yard Dash: 4.5 seconds; later: 4.1 seconds Power: C Speed: SS Technique: S Odds of winning MVP title: 3.3 to 1  Panther is a good-natured person who has extraordinary running talents, but has been reduced to being a ballboy, due to Apoll"
121,Ichirou Takami,Ichirou Takami,9413,Position: Quarterback  Jersey: 3  40 Yard Dash: 5.7 sec  Bench Press: 85 kg   Takami is Oujou White Knights quarterback. He is a very slow runner but his passes are thrown with precision and accuracy. Most of his training Takami spends calculating pass routes and passing the football to the players.
122,Gen Takekura,Gen Takekura,6822,"Position: Kicker/Linebacker  Jersey: 11  40 yard dash: 5.6 seconds  Bench Press: 90 kgs  Height: 177 cm (5' 9"")  Weight: 77 kg (169 lb)  Blood Type: A  Birthday: April 2  Graduated From: Maou 13th Middle School  2nd year student   The place kicker for the Devil Bats and one of the original three mem"
123,Natsuhiko Taki,Natsuhiko Taki,957,"Position: Tight End/Safety/Outside Linebacker Jersey: 37 40 yard dash: 5.01 seconds Bench Press: 90 kg (198 lbs) Height: 182 cm (6' 0"") Weight: 72 kg (158 lbs) Blood Type: AB Birthday: April 10 Grade: 1st year  A man with an odd and rather foolish attitude, and is apparently quite oblivious to the s"
124,Suzuna Taki,Suzuna Taki,7030,Birthday: March 31 1st year student (Grade 10) Position: Cheerleading Captain (self-appointed) Height: 151 cm  Suzuna is a cute blue-haired girl who's always wearing rollerblades. She came to the United States and hitched a ride with one of the bikers of a bike gang. Sena first met her after he got 
125,Jo Tetsuma,Jo Tetsuma,7051,"Position: Wide Receiver  Jersey Number: 15  40-yard-dash: 5.0 seconds  Bench-press: 115 kg  2nd Year Student (Grade 11)   A fast and quiet guy, he has a habit of following orders to the letter, and that can lead to disaster. It is very important to give him specific instructions and to watch him car"
126,Shozo Togano,Shozo Togano,7002,"Position: Lineman/Offensive Tackle Jersey: 53 Bench press: 85 kg Birthday: October 13 40 yard dash: 5.5 second  Has long spiky blonde hair, and constantly wears orange tinted sunglasses. Can usually be seen reading manga. He seems to be the most quiet of the three. Likes Jump, but puts it aside for "
127,Megu Tsuyumine,Megu Tsuyumine,12793,"Zokugaku's manager and trainer, Megu Tsuyumine is a rough, no-nonsense woman who carries a wooden practice sword and is not above torturing the team members in order to get them to train harder. Some of her known tactics are towing players behind her motorcycle, hitting them between the legs with he"
128,Baharou Ushijima,Baharou Ushijima,10531,"Position: Line Defense/ Team Captain 3rd Year students (Grade 12)  A dreadlocked, large lineman for Seibu, he is one of the few defense-oriented players on the mostly offensive team. Using the training period at the team ranch in the United States, he chooses to master a more gripping style to destr"
129,Koharu Wakana,Koharu Wakana,7915,The petite female manager/assistant to Gunpei and the Oujou White Knights. She's known for recording most of the football games and catching thrown garbages with a trash bin. She seems to developed a friendship with fellow member Takami and Deimon's Mamori and Suzuna. It was said that she actually b
130,Jeremy Watt,Jeremy Watt,7033,"Position: Wide Receiver  Jersey Number: 81  40 yard dash: 4.8 seconds   Watt is the best Wide Receiver of the Nasa Aliens. He also serves as team's translator, though he's more of a pseudo-Japan scholar (meaning that he's more of an otaku than a Japan-ophile). As a result, he often gets translations"
131,Gondayuu Yamabushi,Gondayuu Yamabushi,10534,"Birthday: August 14  One of the senior members of the Naga team, as he is referred to as Yabushi-sempai by Unsui and others. A very skilled lineman, he is the center (literally and by position) of the line for offense and defense. According to his coach, he is more skilled than Kurita, almost a matc"
132,Onihei Yamamoto,Onihei Yamamoto,7313,"Position: Lineman  Jersey Number: 71  Height: 167 cm  Weight:72 kg  3rd Year Student (Grade 12)   Onihei is a cunning ultra veteran with a small body who even fellow lineman Kurita greatly admires! In fact, Onihei is the reason why Kurita came to play football in the way he does now and because of h"
133,Manabu Yukimitsu,Manabu Yukimitsu,3700,"Position: Wide Receiver/Special Teams  Jersey: 16  40 yard dash: 5.5 seconds  Bench Press: Unknown  Height: 179 cm (5' 10"")  Weight: 67 kg (147 lb)  Blood Type: A  Birthday: February 29  Graduated From: Deimon 3rd Middle School  2nd Year Student (Grade 11)   Yukimitsu is the bench player of the Deim"
134,Hagumi Hanamoto,Hagumi Hanamoto,353,"Age: 18 years old  Specialty: All mediums of art Likes: Initially Unknown Height: 142 cm (4'6"") Weight: 38 kg (83.6 lbs)  A supremely gifted artist, Hagu's immense talents are esteemed by all who witness her works, catching the eye of numerous professional artists who insistently urge her to submit "
135,Takumi Mayama,Takumi Mayama,355,"22 years old and a 4th year student at the start of the series, Mayama is from Kanazawa, Ishikawa-ken and an architecture student at the art institute. He lives in the same complex as Takemoto and Morita. He occupies room 101, sharing the floor with an unknown individual and formerly Lohmeyer-senpai"
136,Shinobu Morita,Shinobu Morita,352,"Age: 24 Height: 175 cm (5'8.5"") Weight: 62 kg (136.4 lbs) Specialty: sculptures  Morita occupies room 203, his floormates being Takemoto and Hasegawa. Morita is unable to graduate, as he can never wake up on time to go to classes. This is mainly due to the work that he does, which forces him to go m"
137,Yuuta Takemoto,Yuuta Takemoto,354,"Age: 19 Specialty: nothing in particular Likes: Hagumi Height: 170 (5'7"") Weight: 57 kg (125.4 lbs)  Aged 19 (at the beginning of the series), Yuuta Takemoto is a second-year student at the art college. He is from Annaka city, Gunma-ken. He lives in the same apartment complex as Mayama and Morita in"
138,Ayumi Yamada,Ayumi Yamada,356,"Age: 21 years old  Specialty: Pottery Making Likes: Mayama Height: 165 cm (5'5"") Weight: 54 kg (118.8 lbs)  21 years old at the beginning, Yamada is well known by her peers at the art college. Due to her good looks, she also catches the attention of her male friends/coworkers at the shopping distric"
139,Lohmeyer,Lohmeyer,2269,"An art school student and former flatmate of Morita and Mayama. He would bring great amounts of meat to their poverty-affected diets.   Lohmeyer-senpai also worked part time as Nyanzaburou in an amusement park and, as you would expect, single-handedly saved the business.  Sadly, because of his fathe"
140,Leader,Leader,9540,"Miwako's dog, seen mostly in her presence. Although essentially a minor character, Leader exceeds his/her minor character colleagues in registering noteworthy impressions by responding when addressed and often remarking on the behavior or accounts of others."
141,Nurse,Nurse,16119,A manly nurse that keeps the order through rather violent ways in the local hospital.
142,Shin,Shin,17140,"The first of the shrine repairmen that Takemoto meets, Shin is a kind, friendly guy."
143,Rokutarou,Rokutarou,34888,He's the youngest one working on renovation of the temple. He's a member of team that hire Takemoto. He appears in 22 and 23 episode
144,Shouda,Shouda,37021,"Shouda is another elderly teacher at the art institute that every attends, Shouda is Yamada's supervising instructor and an extremely avid admirer of her work, along with her Iron Lady fans. He is especially impressed with Yamada's graduation project, a beautifully thrown and large bowl, to point of"
145,Kazuo Aida,Kazuo Aida,17138,"Mitsuko's second husband, Kazuo is a strong, outgoing, honest guy who tries to be a good stepfather to Takemoto."
146,Shuuji Hanamoto,Shuuji Hanamoto,3855,"Shuuji is a professor at a Tokyo art university, and Hagumi's overprotective cousin. Growing up together, Shuuji was the only real father figure Hagu had, and he took to his role, becoming highly devoted to making sure Hagu was happy, and taking pride in her amazing artistic talent. As for his teach"
147,Rika Harada,Rika Harada,3603,"Age: 30+  Specialty: Design Likes: Harada, her husband Height: 167 cm (5'6"") Weight: 53 kg (116 lbs)  Rika is the founder and manager of Harada Design. She ran it with her husband until he died in a car accident that happened on the opening night of one of the stores they designed. This accident lef"
148,Kaoru Morita,Kaoru Morita,11781,Morita's older brother who seems to have a mysterious agenda in earning ridiculously large amounts of money. It is later revealed that he and Morita are working together to buy back his father's company which was purchased by an electrical company when they were kids.  From Wikipedia
149,Takumi Nomiya,Takumi Nomiya,3881,"He, along with Yamazaki and Miwako, is first introduced on episode 14 of season 1. He is the type of guy who could ""throw a cellphone in the sea full of women's numbers, without caring at all"" as said by Mayama.  Nomiya is Mayama's former boss at Fujiwara Design. He also likes Yamada, and tries to v"
150,Mitsuko Takemoto,Mitsuko Takemoto,17137,"Takemoto's mother. She works as a nurse. She raised him by herself for a few years following his father's death, but has since remarried."
151,Miwako Teshigawara,Miwako Teshigawara,6091,Miwako is another employee at Fujiwara Design along with Nomiya and Yamazaki. She owns a dog named Leader that comes to work with her every day and more often than not will be found cuddling with or sitting in Miwako's lap.
152,Kazushi Yamazaki,Kazushi Yamazaki,17141,"One of the architects at Fujiwara Designs in Honey &amp; Clover, Yamazaki is a nice guy who somehow manages to look stylish no matter what he wears. He admits to knowing nothing about fashion, since he attended an all-boys high school, but he is still constantly scouted by fashion magazines. He has "
153,Rodrigo,Rodrigo,13448,"A transfer student from Brazil who wants to go pro in order to help his large family. While he appears to be cold, self-centered and only driven by money at first, his attitude radically changes after his meeting with Kyosuke. Rodrigo is Jyoyo's playmaker, who earns the interest of several professio"
154,Kouji Sakai Jefferson,Kouji Sakai Jefferson,5023,"Known for charming all the girls in school, he is JyoyÅ�'s goalkeeper. He is also known for his superior acceleration speed. His mother is Swedish and his father has Japanese blood.  When he first went to Jyoyo high soccer team, he was very cocky and felt less respect for the Japanese Soccer but tha"
155,Kyosuke Kanou,Kyosuke Kanou,5508,"KyÅ�suke learns the tricks and trades of soccer from his illustrious older brother, A.C. Milan playmaker KanÅ� Seisuke. After Seisuke's departure, he slowly loses interest in the game, but rediscovers his love for it after a fated meeting with Miki. Initially joining as the coach of JyoyÅ�'s girl's "
156,Seisuke Kanou,Seisuke Kanou,12822,"Kyousuke's brother. When he was young, he led both his Middle and High School's soccer teams to the nationals and won, and was in the top three in High School. A world renowned player before 17, he also had a J-League contract before 21, and later became the AC Milan star and captain. He also had ex"
157,Miki Tsujiwaki,Miki Tsujiwaki,11736,"Miki is the captain of JyoyÅ� Akanegaoka's female soccer team. She convinces Kyosuke to become the team's manager and helps him realize that he stills loves soccer, making him join JyoyÅ� Akanegaoka's male team. After that she still cheers him on at every game. She will sometimes scold Kyosuke when "
158,Ryosei Furuki,Ryosei Furuki,36422,Ryosei's team captain. He plays ID (Important Data) soccer. he plays on the same college team as Sako.
159,Hiroshi Ichikawa,Hiroshi Ichikawa,23661,"Ages: 17/18  Known for his hot-headed attitude. In the first year, he has troubles with Rodrigo's individualist attitude, as he believes teamwork is the key for victory. In the second year, he's chosen to be the sub-captain, and has to deal with YÅ«ya and his group.   (Source: Wikipedia)"
160,Yuujirou Kamiyama,Yuujirou Kamiyama,19294,KokuryÅ�'s ace striker. KyÅ�suke's rival as the best striker in the region. Japan Youth Team member.
161,Takumi Fujiwara,Takumi Fujiwara,2819,"Age: 18, 19 (Project D) Car: High tech two-tone Toyota Sprinter Trueno GT-APEX (AE86) Likes: green seasons, rear end of his AE86, naps Dislikes: showoffs, losing, girls that flirt  Takumi Fujiwara is the son of Bunta Fujiwara, the owner of a tofu shop in his hometown Akina. He rarely shows emotion. "
162,Ryousuke Takahashi,Ryousuke Takahashi,2821," He is the leader of the street racers called ""Red Suns"". One of the most talented and skilled drivers in the Gunma prefecture. The older brother of Takahashi Keisuke, who also drives for Red Suns. To win races he thoroughly analyzes his opponent and the course to come up with an optimal strategy. H"
163,Keisuke Takahashi,Keisuke Takahashi,2822,"Age: 21 (22 in Project D) Car: Mazda RX-7 Type R (FD3S) (color: Competition Yellow Mica) Likes: His beloved FD Dislikes: 4WD, Overdressed schoolgirls, Gyaru &amp; losing.  Keisuke Takahashi is the number two driver for the Red Suns. Keisuke drives FD3S and is a skilled driver, second only to his bro"
164,Kenji,Kenji,37074,"Age: 21-22 Car: White Nissan 180SX Type X (RPS13)  He's a friend to Iketani, and he's one of the top three in the Speedstars. He hangs out at the gas station where Iketani, Takumi and Itsuki work from time to time, usually discussing cars and driving techniques with Iketani and Yuichi. He has respec"
165,Wataru Akiyama,Wataru Akiyama,35977,"One of the first racers from Saitama to actually race against Takumi with his turbocharged Levin, he appeared later in Fourth Stage, this time replacing the turbocharger with a supercharger for more linear acceleration. Wataru is a skilled driver who honed his skills on the treacherous Shomaru Pass."
166,Nobuhiko Akiyama,Nobuhiko Akiyama,37059,
167,Kazumi Akiyama,Kazumi Akiyama,37061,Akiyama Wataru's sister. She grew up with her brother and watched him race around.
168,Bunta Fujiwara,Bunta Fujiwara,2820,"Age: 43 (44 in Project D) Car: Subaru Impreza WRX STI Coupe Type R Version V (GC8) (color: Sonic Blue Mica in anime/Gunmetal Gray Mica in manga) Likes: the sound of a carburetor, tobacco Dislikes: tofu, large cars  Bunta Fujiwara is the owner of a tofu shop in Akina, and the father of Takumi. He use"
169,Hiroshi Fumihiro,Hiroshi Fumihiro,37069,"Car: Red Toyota MR2 GT-S (SW20) (color: silver) or Mazda Roadster (NA6C)   Fumihiro serves as Project D's second in command and handler, setting up and organizing battles with other teams, as well as scouting out prospective courses. In many ways he is also a sort of Executive Assistant to Ryousuke "
170,Kouzou Hoshino,Kouzou Hoshino,37071,"A member of a two-man team of middle-aged racers, he is known by the name of ""God Foot"" due to his extraordinary acceleration control and his ability to drift the BNR34 with the ATTESA-ETS 4WD system activated, which is considered almost impossible. He shouts exclamations during a race in order to k"
171,Kouichirou Iketani,Kouichirou Iketani,15003," Iketani is the leader of the Speedstars and drives an S13 Silvia. He has great pride in his racing team and cares for everyone, including some oppenents. He doesn't know how to drift, but he is working on the back-brake-skid. His driving skills are fairly weak and is scared when the car begins to s"
172,Itsuki Takeuchi,Itsuki Takeuchi,7955," Itsuki is Takumi's best friend and a member of the Akina SpeedStars. Itsuki provides the comic relief in the series, as he is the most enthusiastic of the whole street racing scene. Wanting to be more like Takumi, he accidentally buys an AE85 (""Eight-Five"") Corolla Levin mistaken it for an Eight-Si"
173,Seiji Iwaki,Seiji Iwaki,37066,"Car: Mitsubishi Lancer Evolution IV RS (CN9A) (color: scotia white)  Seiji Iwaki is the number two driver in the Lancer Evolution-only Emperor team, therefore he drives the Lancer Evolution IV. Seiji is a driver with good racing skills, but he is rather arrogant and overconfident and occasionally im"
174,Kyoko Iwase,Kyoko Iwase,10449,Kyoko drives a black singe turbo Mazda RX-7 (FD3S) and is the ace driver of her hometown. She isn't interested in any men unless they can drive faster than her and also drive a FD3S RX-7 since she finds driving more enjoyable than hanging out with random men. She eventually encounters Keisuke Takaha
175,Toushiya Joushima,Toushiya Joushima,37068,
176,Atsuro Kawai,Atsuro Kawai,34979,"Atsuro Kawai is the hillclimb racer and the leader of the Tochigi-based ""Seven Star Leaf"". He seems to be a decent enough driver, again favouring the grip racing techniques, but his mastery of it is uncomparable to that of Takeshi Nakazato. His car is powered up to 400 hp.  Atsuro races against Keis"
177,Shuichi Matsumoto,Shuichi Matsumoto,37070,"Shuichi Matsumoto is the personal mechanic for Takumi Fujiwara's AE86 and possibly Chief Mechanic for Project D. He is the driver for Project D's support van #3 during their expeditions.  In chapter 39 of the manga, Matsumoto was asked by Ryosuke to tune his FC for his anticipated encounter with Rin"
178,Natsuki Mogi,Natsuki Mogi,17255," Natsuki Mogi (茂木 なつき Mogi Natsuki) / Natalie Mogi - Takumi's love interest. Before she hooked up with Takumi, she engaged in enjo kosai to make some extra money. In the movie, it appears that she was engaged in prostitution or sugar-daddy kind of relationship with a middle aged man driving a white "
179,Kenta Nakamura,Kenta Nakamura,37067,"Car: Orange-red Nissan Silvia Q's aero (S14)  One of the youngest members of the Akagi RedSuns and the third best driver of the team, Kenta absolutely adores Keisuke Takahashi and is always eager to prove himself to Keisuke. Kenta was recognized by Keisuke himself for his driving skills, and has bee"
180,Daiki Ninomiya,Daiki Ninomiya,37073,"The ace and current student of the Todo School, Ninomiya Daiki is one of the better drivers of the series. Driving a yellow Civic Type R (EK9), Daiki races against Takumi of Project D in a downhill battle. He excels in braking, being able to release the brake pedal in the perfect spot during a corne"
181,Sakai,Sakai,37063,"Another driver and current student of the Todo School, Smiley Sakai (ã‚¹ãƒžã‚¤ãƒªãƒ¼ é…’äº•, SumairÄ« Sakai) is one of Daiki's friends and drives an Integra Type R DC2, equipped with an aftermarket turbocharger. Sakai races against Keisuke of Project D in a hillclimb battle. His face tenses up when "
182,Sakamoto,Sakamoto,37065,
183,Kyoichi Sudou,Kyoichi Sudou,2823,"Sudou Kyouichi is from Nikko, Tochigi Prefecture and rated as one of the best drivers in the series. He is the team leader and driving ace of the Lancer Evolution-only Emperor team. He drives a Mitsubishi Lancer Evolution III powered up to 350 hp equipped with a WRC style misfiring system. In his ph"
184,Tohru Suetsugu,Tohru Suetsugu,37064,
185,Tomoyuki Tachi,Tomoyuki Tachi,37010,
186,Yuuichi Tachibana,Yuuichi Tachibana,37062,"Yuichi Tachibana is the boss of the gas station that Takumi worked in. An old friend of Bunta's and a racer in his youth, Yuichi acts like a father figure to the ""Akina Speed Stars"". It seems that he drives a black Toyota Chaser that is seen during some of Takumi's races that he watched, specificall"
187,Todo,Todo,37072,
188,Eva Heinemann,Eva Heinemann,6123,"Eva Heinemann is Doctor Tenma's fiancÃ©e and the daughter of the Director of Eisler Memorial Hospital. She leaves Doctor Tenma after he is demoted by the Director for disobeying his orders. After Director Heinemann is murdered by Johan, she tries to return to Tenma, then recently promoted Chief of S"
189,Johan Liebert,Johan Liebert,719,"Johan Liebert is the namesake ""monster"" of the story and the mystery of his past is the focus of the plot. He has been called a monster, the next Adolf Hitler and even the devil himself. Johan Liebert was shot in the head at a young age but saved from death by Dr. Tenma. Because of this, he is very "
190,Anna Liebert,Anna Liebert,720,"Birthday: April 7, 1975  Johan's twin sister and the only unharmed survivor of the night when both her parents and her brother were shot in what appeared to be a botched burglary. At first she showed signs of amnesia due to the psychological trauma of the incident. After she and her brother disappea"
191,Heinrich Lunge,Heinrich Lunge,721,"Inspector Lunge is a dedicated detective belonging to the BKA, which is like the FBI of Germany. When Dr. Tenma is accused of murder in Düsseldorf, Inspector Lunge is assigned to Tenma's case. Lunge moves his hand to ""store"" information from his cases. He has such a successful track record for solvi"
192,Kenzou Tenma,Kenzou Tenma,718,"Doctor Kenzou Tenma is a Japanese neurosurgeon working at the Eisler Memorial Hospital in Düsseldorf. At the beginning of Monster he is favored by the department director for his prodigious surgical skill. After a crisis of conscience, he chooses to save the life of a young boy instead of the city's"
193,Dieter,Dieter,6329,"Dieter is a young boy when found by Tenma to be under the care of a man named Hartmann. Upon meeting Dieter, Tenma notices that the young boy is covered in bruises. It turns out that Hartmann was trying to make Dieter into another Johan, a kind of leader that had not been produced from 511 Kinderhei"
194,Roberto,Roberto,8611,"A big, burly man and one of the many people from the orphanage 511 Kinderheim that Johan controls. He admires Johan very much, and often acts as Johan's bodyguard and henchman. He is also a professional hitman with substantial proficiency.  His true name, already forgotten by himself, is Adolf Reinh"
195,Akanbou,Akanbou,8612,"First mentioned in Chapter 25, the ""Baby"" is a short, elderly man, and an infamous Neo-Nazi leader. He worships Johan as an ideal Aryan leader who would be able to become the next Hitler to lead Germany into prominence. He also works for the four individuals who would gladly welcome Johan as a polit"
196,Martin Reest,Martin Reest,12117,
197,Blue Sophie,Blue Sophie,36224,"Retired prostitute turned con artist. Blue Sophie takes over the identity of Margot Langer in order to scam regret money from the deceased's lover, Hans Georg Schuwald."
198,Peter Čapek,Peter Čapek,8616,"The last individual of the organization is the mysterious man with glasses who is responsible for a large amount of incidents during Monster. He is the highest in the organization, and tried to control the devil by letting him meet with Christoph Sievernich. In his youth Peter was actually Franz Bon"
199,Franz Bonaparta,Franz Bonaparta,8615,"Franz Bonaparta is considered to be the one responsible for the eugenics experiment that led to the birth of the Liebert twins and is also attributed as the author of the storybooks used to indoctrinate the children of Rose Mansion. Most notable of them was The Nameless Monster, from which Johan too"
200,Richard Braun,Richard Braun,36223,"Birthday: 25 January 1951  A private investigator hired by Hans Georg Schubert to investigate the supposed suicide of Edmund Farren. His alcoholism after shooting a criminal resulted in his wife and daughter leaving him. Since then, he was trying everything to piece his life back together and reconc"
